,IAD_W_C,IAD_W_GC,IAD_W_GI,IAD_W_I,IAD_W_X
1959Q3,0.153717,0.091074,0.281430,0.332407,0.141371
1959Q4,0.153717,0.091074,0.281430,0.332407,0.141371
1960Q1,0.153717,0.091074,0.281430,0.332407,0.141371
1960Q2,0.153717,0.091074,0.281430,0.332407,0.141371
1960Q3,0.153717,0.091074,0.281430,0.332407,0.141371
1960Q4,0.153717,0.091074,0.281430,0.332407,0.141371
1961Q1,0.153717,0.091074,0.281430,0.332407,0.141371
1961Q2,0.153717,0.091074,0.281430,0.332407,0.141371
1961Q3,0.153717,0.091074,0.281430,0.332407,0.141371
1961Q4,0.153717,0.091074,0.281430,0.332407,0.141371
1962Q1,0.153717,0.091074,0.281430,0.332407,0.141371
1962Q2,0.153717,0.091074,0.281430,0.332407,0.141371
1962Q3,0.153717,0.091074,0.281430,0.332407,0.141371
1962Q4,0.153717,0.091074,0.281430,0.332407,0.141371
1963Q1,0.153717,0.091074,0.281430,0.332407,0.141371
1963Q2,0.153717,0.091074,0.281430,0.332407,0.141371
1963Q3,0.153717,0.091074,0.281430,0.332407,0.141371
1963Q4,0.153717,0.091074,0.281430,0.332407,0.141371
1964Q1,0.153717,0.091074,0.281430,0.332407,0.141371
1964Q2,0.153717,0.091074,0.281430,0.332407,0.141371
1964Q3,0.153717,0.091074,0.281430,0.332407,0.141371
1964Q4,0.153717,0.091074,0.281430,0.332407,0.141371
1965Q1,0.153717,0.091074,0.281430,0.332407,0.141371
1965Q2,0.153717,0.091074,0.281430,0.332407,0.141371
1965Q3,0.153717,0.091074,0.281430,0.332407,0.141371
1965Q4,0.153717,0.091074,0.281430,0.332407,0.141371
1966Q1,0.153717,0.091074,0.281430,0.332407,0.141371
1966Q2,0.153717,0.091074,0.281430,0.332407,0.141371
1966Q3,0.153717,0.091074,0.281430,0.332407,0.141371
1966Q4,0.153717,0.091074,0.281430,0.332407,0.141371
1967Q1,0.153717,0.091074,0.281430,0.332407,0.141371
1967Q2,0.153717,0.091074,0.281430,0.332407,0.141371
1967Q3,0.153717,0.091074,0.281430,0.332407,0.141371
1967Q4,0.153717,0.091074,0.281430,0.332407,0.141371
1968Q1,0.153717,0.091074,0.281430,0.332407,0.141371
1968Q2,0.153717,0.091074,0.281430,0.332407,0.141371
1968Q3,0.153717,0.091074,0.281430,0.332407,0.141371
1968Q4,0.153717,0.091074,0.281430,0.332407,0.141371
1969Q1,0.153717,0.091074,0.281430,0.332407,0.141371
1969Q2,0.153717,0.091074,0.281430,0.332407,0.141371
1969Q3,0.153717,0.091074,0.281430,0.332407,0.141371
1969Q4,0.153717,0.091074,0.281430,0.332407,0.141371
1970Q1,0.153717,0.091074,0.281430,0.332407,0.141371
1970Q2,0.153717,0.091074,0.281430,0.332407,0.141371
1970Q3,0.153717,0.091074,0.281430,0.332407,0.141371
1970Q4,0.153717,0.091074,0.281430,0.332407,0.141371
1971Q1,0.153717,0.091074,0.281430,0.332407,0.141371
1971Q2,0.153717,0.091074,0.281430,0.332407,0.141371
1971Q3,0.153717,0.091074,0.281430,0.332407,0.141371
1971Q4,0.153717,0.091074,0.281430,0.332407,0.141371
1972Q1,0.153717,0.091074,0.281430,0.332407,0.141371
1972Q2,0.153717,0.091074,0.281430,0.332407,0.141371
1972Q3,0.153717,0.091074,0.281430,0.332407,0.141371
1972Q4,0.153717,0.091074,0.281430,0.332407,0.141371
1973Q1,0.153717,0.091074,0.281430,0.332407,0.141371
1973Q2,0.153717,0.091074,0.281430,0.332407,0.141371
1973Q3,0.153717,0.091074,0.281430,0.332407,0.141371
1973Q4,0.153717,0.091074,0.281430,0.332407,0.141371
1974Q1,0.153717,0.091074,0.281430,0.332407,0.141371
1974Q2,0.153717,0.091074,0.281430,0.332407,0.141371
1974Q3,0.153717,0.091074,0.281430,0.332407,0.141371
1974Q4,0.153717,0.091074,0.281430,0.332407,0.141371
1975Q1,0.153717,0.091074,0.281430,0.332407,0.141371
1975Q2,0.153717,0.091074,0.281430,0.332407,0.141371
1975Q3,0.153717,0.091074,0.281430,0.332407,0.141371
1975Q4,0.153717,0.091074,0.281430,0.332407,0.141371
1976Q1,0.153717,0.091074,0.281430,0.332407,0.141371
1976Q2,0.153717,0.091074,0.281430,0.332407,0.141371
1976Q3,0.153717,0.091074,0.281430,0.332407,0.141371
1976Q4,0.153717,0.091074,0.281430,0.332407,0.141371
1977Q1,0.153717,0.091074,0.281430,0.332407,0.141371
1977Q2,0.153717,0.091074,0.281430,0.332407,0.141371
1977Q3,0.153717,0.091074,0.281430,0.332407,0.141371
1977Q4,0.153717,0.091074,0.281430,0.332407,0.141371
1978Q1,0.153717,0.091074,0.281430,0.332407,0.141371
1978Q2,0.153717,0.091074,0.281430,0.332407,0.141371
1978Q3,0.153717,0.091074,0.281430,0.332407,0.141371
1978Q4,0.153717,0.091074,0.281430,0.332407,0.141371
1979Q1,0.153717,0.091074,0.281430,0.332407,0.141371
1979Q2,0.153717,0.091074,0.281430,0.332407,0.141371
1979Q3,0.153717,0.091074,0.281430,0.332407,0.141371
1979Q4,0.153717,0.091074,0.281430,0.332407,0.141371
1980Q1,0.153717,0.091074,0.281430,0.332407,0.141371
1980Q2,0.153717,0.091074,0.281430,0.332407,0.141371
1980Q3,0.153717,0.091074,0.281430,0.332407,0.141371
1980Q4,0.153717,0.091074,0.281430,0.332407,0.141371
1981Q1,0.153717,0.091074,0.281430,0.332407,0.141371
1981Q2,0.153717,0.091074,0.281430,0.332407,0.141371
1981Q3,0.153717,0.091074,0.281430,0.332407,0.141371
1981Q4,0.153717,0.091074,0.281430,0.332407,0.141371
1982Q1,0.153717,0.091074,0.281430,0.332407,0.141371
1982Q2,0.153717,0.091074,0.281430,0.332407,0.141371
1982Q3,0.153717,0.091074,0.281430,0.332407,0.141371
1982Q4,0.153717,0.091074,0.281430,0.332407,0.141371
1983Q1,0.153717,0.091074,0.281430,0.332407,0.141371
1983Q2,0.153717,0.091074,0.281430,0.332407,0.141371
1983Q3,0.153717,0.091074,0.281430,0.332407,0.141371
1983Q4,0.153717,0.091074,0.281430,0.332407,0.141371
1984Q1,0.153717,0.091074,0.281430,0.332407,0.141371
1984Q2,0.153717,0.091074,0.281430,0.332407,0.141371
1984Q3,0.153717,0.091074,0.281430,0.332407,0.141371
1984Q4,0.153717,0.091074,0.281430,0.332407,0.141371
1985Q1,0.153717,0.091074,0.281430,0.332407,0.141371
1985Q2,0.153717,0.091074,0.281430,0.332407,0.141371
1985Q3,0.153376,0.091269,0.281317,0.332415,0.141623
1985Q4,0.153035,0.091465,0.281203,0.332423,0.141875
1986Q1,0.152694,0.091661,0.281089,0.332429,0.142127
1986Q2,0.152354,0.091857,0.280974,0.332436,0.142380
1986Q3,0.152014,0.092053,0.280859,0.332442,0.142632
1986Q4,0.151675,0.092250,0.280743,0.332447,0.142885
1987Q1,0.151336,0.092447,0.280628,0.332451,0.143138
1987Q2,0.150998,0.092644,0.280511,0.332456,0.143391
1987Q3,0.150661,0.092841,0.280394,0.332459,0.143645
1987Q4,0.150323,0.093039,0.280277,0.332462,0.143898
1988Q1,0.149987,0.093237,0.280159,0.332465,0.144152
1988Q2,0.149651,0.093435,0.280041,0.332466,0.144406
1988Q3,0.149315,0.093634,0.279923,0.332468,0.144661
1988Q4,0.148980,0.093832,0.279804,0.332469,0.144915
1989Q1,0.148645,0.094031,0.279685,0.332469,0.145170
1989Q2,0.148311,0.094231,0.279565,0.332468,0.145425
1989Q3,0.147978,0.094430,0.279445,0.332468,0.145680
1989Q4,0.147644,0.094630,0.279324,0.332466,0.145935
1990Q1,0.147312,0.094830,0.279203,0.332464,0.146191
1990Q2,0.146980,0.095030,0.279082,0.332462,0.146446
1990Q3,0.148291,0.094617,0.278233,0.331376,0.147483
1990Q4,0.149610,0.094203,0.277380,0.330284,0.148523
1991Q1,0.150936,0.093788,0.276522,0.329187,0.149566
1991Q2,0.152270,0.093373,0.275659,0.328085,0.150613
1991Q3,0.153612,0.092956,0.274791,0.326978,0.151663
1991Q4,0.154961,0.092539,0.273918,0.325866,0.152715
1992Q1,0.156318,0.092122,0.273041,0.324748,0.153771
1992Q2,0.157682,0.091703,0.272159,0.323625,0.154830
1992Q3,0.159054,0.091285,0.271272,0.322497,0.155892
1992Q4,0.160433,0.090865,0.270380,0.321364,0.156957
1993Q1,0.161820,0.090445,0.269484,0.320226,0.158024
1993Q2,0.163214,0.090024,0.268584,0.319084,0.159095
1993Q3,0.164615,0.089603,0.267678,0.317936,0.160168
1993Q4,0.166024,0.089181,0.266768,0.316783,0.161244
1994Q1,0.167440,0.088758,0.265854,0.315626,0.162322
1994Q2,0.168863,0.088335,0.264935,0.314463,0.163403
1994Q3,0.170294,0.087912,0.264012,0.313296,0.164486
1994Q4,0.171731,0.087488,0.263084,0.312124,0.165572
1995Q1,0.173176,0.087064,0.262153,0.310948,0.166660
1995Q2,0.174628,0.086639,0.261216,0.309767,0.167750
1995Q3,0.175229,0.087016,0.260850,0.309327,0.167578
1995Q4,0.175831,0.087395,0.260483,0.308886,0.167406
1996Q1,0.176434,0.087775,0.260115,0.308443,0.167232
1996Q2,0.177039,0.088156,0.259747,0.308000,0.167058
1996Q3,0.177645,0.088539,0.259377,0.307556,0.166883
1996Q4,0.178251,0.088923,0.259007,0.307111,0.166708
1997Q1,0.178859,0.089307,0.258636,0.306665,0.166532
1997Q2,0.179469,0.089693,0.258264,0.306218,0.166355
1997Q3,0.180079,0.090081,0.257891,0.305771,0.166178
1997Q4,0.180691,0.090469,0.257518,0.305322,0.166000
1998Q1,0.181303,0.090859,0.257144,0.304873,0.165821
1998Q2,0.181917,0.091250,0.256769,0.304422,0.165642
1998Q3,0.182532,0.091642,0.256393,0.303971,0.165462
1998Q4,0.183148,0.092035,0.256017,0.303518,0.165281
1999Q1,0.183765,0.092430,0.255640,0.303065,0.165100
1999Q2,0.184384,0.092826,0.255262,0.302611,0.164918
1999Q3,0.184588,0.093310,0.255568,0.302364,0.164170
1999Q4,0.184792,0.093797,0.255873,0.302115,0.163424
2000Q1,0.184995,0.094285,0.256176,0.301864,0.162680
2000Q2,0.185197,0.094775,0.256478,0.301612,0.161938
2000Q3,0.185397,0.095267,0.256779,0.301357,0.161199
2000Q4,0.185597,0.095761,0.257079,0.301101,0.160462
2001Q1,0.185796,0.096257,0.257377,0.300843,0.159728
2001Q2,0.185993,0.096755,0.257673,0.300583,0.158996
2001Q3,0.186190,0.097255,0.257968,0.300321,0.158266
2001Q4,0.186385,0.097756,0.258262,0.300058,0.157538
2002Q1,0.186580,0.098260,0.258555,0.299793,0.156812
2002Q2,0.186773,0.098766,0.258846,0.299526,0.156089
2002Q3,0.186860,0.099174,0.258415,0.299567,0.155985
2002Q4,0.186912,0.099420,0.258156,0.299591,0.155922
2003Q1,0.186945,0.099575,0.257992,0.299606,0.155882
2003Q2,0.186968,0.099686,0.257875,0.299616,0.155854
2003Q3,0.186987,0.099777,0.257780,0.299625,0.155831
2003Q4,0.187005,0.099859,0.257694,0.299633,0.155809
2004Q1,0.187021,0.099939,0.257610,0.299640,0.155789
2004Q2,0.187038,0.100018,0.257528,0.299648,0.155769
2004Q3,0.187054,0.100097,0.257445,0.299655,0.155749
2004Q4,0.187071,0.100176,0.257363,0.299663,0.155729
2005Q1,0.187087,0.100254,0.257280,0.299670,0.155708
2005Q2,0.187103,0.100333,0.257198,0.299677,0.155688
2005Q3,0.187107,0.100349,0.257182,0.299679,0.155684
2005Q4,0.187110,0.100365,0.257165,0.299680,0.155680
2006Q1,0.187113,0.100381,0.257149,0.299682,0.155676
2006Q2,0.187116,0.100396,0.257132,0.299683,0.155672
2006Q3,0.187122,0.100425,0.257103,0.299686,0.155665
2006Q4,0.187128,0.100453,0.257073,0.299688,0.155658
2007Q1,0.187134,0.100482,0.257043,0.299691,0.155650
2007Q2,0.187140,0.100510,0.257014,0.299693,0.155643
2007Q3,0.187148,0.100549,0.256973,0.299697,0.155633
2007Q4,0.187156,0.100587,0.256933,0.299700,0.155623
2008Q1,0.187164,0.100626,0.256893,0.299704,0.155613
2008Q2,0.187172,0.100664,0.256853,0.299708,0.155604
2008Q3,0.186815,0.100700,0.257903,0.299032,0.155550
2008Q4,0.186458,0.100735,0.258955,0.298357,0.155495
2009Q1,0.186100,0.100769,0.260011,0.297681,0.155439
2009Q2,0.185742,0.100803,0.261069,0.297004,0.155382
2009Q3,0.185645,0.100893,0.261423,0.296628,0.155411
2009Q4,0.185547,0.100982,0.261778,0.296252,0.155441
2010Q1,0.185449,0.101071,0.262133,0.295876,0.155470
2010Q2,0.185351,0.101161,0.262489,0.295500,0.155499
2010Q3,0.184999,0.100094,0.264233,0.295185,0.155490
2010Q4,0.184644,0.099036,0.265982,0.294863,0.155476
2011Q1,0.184284,0.097987,0.267736,0.294534,0.155459
2011Q2,0.183922,0.096947,0.269495,0.294198,0.155438
2011Q3,0.183555,0.095915,0.271260,0.293856,0.155414
2011Q4,0.183185,0.094893,0.273029,0.293507,0.155386
2012Q1,0.182811,0.093879,0.274804,0.293152,0.155354
2012Q2,0.182434,0.092873,0.276583,0.292791,0.155318
2012Q3,0.182054,0.091877,0.278368,0.292422,0.155279
2012Q4,0.181669,0.090889,0.280158,0.292048,0.155236
2013Q1,0.181282,0.089909,0.281952,0.291667,0.155190
2013Q2,0.180891,0.088938,0.283751,0.291280,0.155140
2013Q3,0.180790,0.088858,0.284886,0.290670,0.154797
2013Q4,0.180688,0.088778,0.286022,0.290059,0.154453
2014Q1,0.180584,0.088697,0.287162,0.289447,0.154110
2014Q2,0.180480,0.088616,0.288304,0.288835,0.153766
2014Q3,0.180463,0.088659,0.288961,0.288293,0.153625
2014Q4,0.180446,0.088702,0.289618,0.287751,0.153483
2015Q1,0.180429,0.088744,0.290276,0.287209,0.153341
2015Q2,0.180411,0.088787,0.290935,0.286668,0.153200
2015Q3,0.181181,0.088786,0.291601,0.286223,0.152210
2015Q4,0.181951,0.088784,0.292264,0.285775,0.151225
2016Q1,0.182723,0.088781,0.292926,0.285325,0.150245
2016Q2,0.183496,0.088777,0.293585,0.284873,0.149269
2016Q3,0.184428,0.088893,0.293963,0.284863,0.147852
2016Q4,0.185361,0.089008,0.294336,0.284849,0.146446
2017Q1,0.186295,0.089121,0.294704,0.284829,0.145050
2017Q2,0.186295,0.089121,0.294704,0.284829,0.145050
2017Q3,0.186295,0.089121,0.294704,0.284829,0.145050
2017Q4,0.186295,0.089121,0.294704,0.284829,0.145050
2018Q1,0.186295,0.089121,0.294704,0.284829,0.145050
2018Q2,0.186295,0.089121,0.294704,0.284829,0.145050
2018Q3,0.186295,0.089121,0.294704,0.284829,0.145050
2018Q4,0.186295,0.089121,0.294704,0.284829,0.145050
2019Q1,0.186295,0.089121,0.294704,0.284829,0.145050
2019Q2,0.186295,0.089121,0.294704,0.284829,0.145050
2019Q3,0.186295,0.089121,0.294704,0.284829,0.145050
2019Q4,0.186295,0.089121,0.294704,0.284829,0.145050
2020Q1,0.186295,0.089121,0.294704,0.284829,0.145050
2020Q2,0.186295,0.089121,0.294704,0.284829,0.145050
2020Q3,0.186295,0.089121,0.294704,0.284829,0.145050
2020Q4,0.186295,0.089121,0.294704,0.284829,0.145050
2021Q1,0.186295,0.089121,0.294704,0.284829,0.145050
2021Q2,0.186295,0.089121,0.294704,0.284829,0.145050
2021Q3,0.186295,0.089121,0.294704,0.284829,0.145050
2021Q4,0.186295,0.089121,0.294704,0.284829,0.145050
2022Q1,0.186295,0.089121,0.294704,0.284829,0.145050
2022Q2,0.186295,0.089121,0.294704,0.284829,0.145050
2022Q3,0.186295,0.089121,0.294704,0.284829,0.145050
2022Q4,0.186295,0.089121,0.294704,0.284829,0.145050
2023Q1,0.186295,0.089121,0.294704,0.284829,0.145050
2023Q2,0.186295,0.089121,0.294704,0.284829,0.145050
2023Q3,0.186295,0.089121,0.294704,0.284829,0.145050
2023Q4,0.186295,0.089121,0.294704,0.284829,0.145050
2024Q1,0.186295,0.089121,0.294704,0.284829,0.145050
2024Q2,0.186295,0.089121,0.294704,0.284829,0.145050
2024Q3,0.186295,0.089121,0.294704,0.284829,0.145050
2024Q4,0.186295,0.089121,0.294704,0.284829,0.145050
2025Q1,0.186295,0.089121,0.294704,0.284829,0.145050
2025Q2,0.186295,0.089121,0.294704,0.284829,0.145050
2025Q3,0.186295,0.089121,0.294704,0.284829,0.145050
2025Q4,0.186295,0.089121,0.294704,0.284829,0.145050
2026Q1,0.186295,0.089121,0.294704,0.284829,0.145050
2026Q2,0.186295,0.089121,0.294704,0.284829,0.145050
2026Q3,0.186295,0.089121,0.294704,0.284829,0.145050
2026Q4,0.186295,0.089121,0.294704,0.284829,0.145050
2027Q1,0.186295,0.089121,0.294704,0.284829,0.145050
2027Q2,0.186295,0.089121,0.294704,0.284829,0.145050
2027Q3,0.186295,0.089121,0.294704,0.284829,0.145050
2027Q4,0.186295,0.089121,0.294704,0.284829,0.145050
2028Q1,0.186295,0.089121,0.294704,0.284829,0.145050
2028Q2,0.186295,0.089121,0.294704,0.284829,0.145050
2028Q3,0.186295,0.089121,0.294704,0.284829,0.145050
2028Q4,0.186295,0.089121,0.294704,0.284829,0.145050
2029Q1,0.186295,0.089121,0.294704,0.284829,0.145050
2029Q2,0.186295,0.089121,0.294704,0.284829,0.145050
